date,name,ticker,amount,type
06/19/2014,Susan M Collins,MPW,"$1,001 - $15,000",Sale (Full)
06/19/2014,Susan M Collins,LVS,"$1,001 - $15,000",Sale (Full)
06/19/2014,Susan M Collins,HFC,"$1,001 - $15,000",Sale (Full)
06/19/2014,Susan M Collins,GOOGL,"$1,001 - $15,000",Purchase
06/19/2014,Susan M Collins,GS,"$1,001 - $15,000",Sale (Full)
06/19/2014,Susan M Collins,AJG,"$1,001 - $15,000",Sale (Full)
06/19/2014,Susan M Collins,FNF,"$1,001 - $15,000",Sale (Full)
06/19/2014,Susan M Collins,CR,"$1,001 - $15,000",Sale (Full)
06/19/2014,Susan M Collins,C,"$1,001 - $15,000",Sale (Full)
06/19/2014,Susan M Collins,CMO,"$1,001 - $15,000",Sale (Full)
06/19/2014,Susan M Collins,BMY,"$1,001 - $15,000",Sale (Full)
06/19/2014,Susan M Collins,AIT,"$1,001 - $15,000",Sale (Full)
06/19/2014,Susan M Collins,AGCO,"$1,001 - $15,000",Sale (Full)
06/06/2014,Maria Cantwell,RNWK,"$1,001 - $15,000",Sale (Partial)
06/06/2014,Maria Cantwell,RNWK,"$1,001 - $15,000",Sale (Partial)
06/06/2014,Maria Cantwell,RNWK,"$1,001 - $15,000",Sale (Partial)
06/06/2014,Maria Cantwell,RNWK,"$1,001 - $15,000",Sale (Partial)
06/25/2014,Thomas R Carper,NTI,"$1,001 - $15,000",Purchase
07/15/2014,Sheldon Whitehouse,BMY,"$1,001 - $15,000",Purchase
06/24/2014,Sheldon Whitehouse,AMZN,"$15,001 - $50,000",Sale (Full)
07/02/2014,Sheldon Whitehouse,NOV,"$15,001 - $50,000",Purchase
07/10/2014,Sheldon Whitehouse,AMGN,"$1,001 - $15,000",Purchase
07/10/2014,Sheldon Whitehouse,EMR,"$1,001 - $15,000",Sale (Full)
07/15/2014,Sheldon Whitehouse,BMY,"$1,001 - $15,000",Purchase
06/18/2014,Sheldon Whitehouse,BEAV,"$1,001 - $15,000",Purchase
06/18/2014,Sheldon Whitehouse,CHL,"$1,001 - $15,000",Purchase
06/18/2014,Sheldon Whitehouse,UNP,"$1,001 - $15,000",Sale (Partial)
06/18/2014,Sheldon Whitehouse,VFC,"$1,001 - $15,000",Sale (Partial)
07/07/2014,Sheldon Whitehouse,KORS,"$15,001 - $50,000",Purchase
07/07/2014,Sheldon Whitehouse,LNKD,"$1,001 - $15,000",Sale (Partial)
07/10/2014,Sheldon Whitehouse,QLIK,"$1,001 - $15,000",Purchase
06/30/2014,Susan M Collins,DVFAX,"$1,001 - $15,000",Purchase
06/06/2014,Pat Roberts,AAPL,"$50,001 - $100,000",Sale (Full)
06/06/2014,Pat Roberts,F,"$1,001 - $15,000",Sale (Full)
07/07/2014,Pat Roberts,AFL,"$1,001 - $15,000",Sale (Full)
07/03/2014,Pat Roberts,SBUX,"$1,001 - $15,000",Sale (Full)
07/03/2014,Pat Roberts,IBM,"$15,001 - $50,000",Sale (Full)
07/22/2014,Pat Roberts,TWTR,"$1,001 - $15,000",Purchase
07/21/2014,Pat Roberts,FB,"$1,001 - $15,000",Sale (Full)
07/07/2014,Pat Roberts,BIDU,"$15,001 - $50,000",Sale (Full)
07/07/2014,Pat Roberts,NFLX,"$50,001 - $100,000",Sale (Full)
07/09/2014,John F Reed,ACT,"$1,001 - $15,000",Purchase
07/25/2014,John F Reed,KSU,"$1,001 - $15,000",Sale (Full)
07/17/2014,Thomas R Carper,LNC,"$15,001 - $50,000",Sale (Partial)
07/28/2014,John F Reed,XLNX,"$1,001 - $15,000",Purchase
07/28/2014,John F Reed,VWO,"$1,001 - $15,000",Purchase
07/28/2014,John F Reed,EEM,"$1,001 - $15,000",Purchase
07/28/2014,John F Reed,ALTR,"$1,001 - $15,000",Purchase
07/28/2014,John F Reed,XRT,"$1,001 - $15,000",Sale (Partial)
07/30/2014,Pat Roberts,BIDU,"$15,001 - $50,000",Purchase
08/01/2014,Pat Roberts,AAPL,"$1,001 - $15,000",Purchase
07/30/2014,Pat Roberts,AAPL,"$1,001 - $15,000",Purchase
07/23/2014,Pat Roberts,FB,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,LNT,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,ARE,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,BUD,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,AMT,"$1,001 - $15,000",Purchase
07/23/2014,Susan M Collins,BIIB,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,BTE,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,BWA,"$1,001 - $15,000",Purchase
07/23/2014,Susan M Collins,BMR,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,DAL,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,CME,"$1,001 - $15,000",Purchase
07/23/2014,Susan M Collins,ECL,"$15,001 - $50,000",Purchase
07/23/2014,Susan M Collins,EMC,"$1,001 - $15,000",Purchase
07/23/2014,Susan M Collins,EPR,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,ENLC,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,GE,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,GRMN,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,HRS,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,HCC,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,HTGC,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,JNJ,"$1,001 - $15,000",Purchase
07/23/2014,Susan M Collins,HUN,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,MMC,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,LECO,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,NSRGY,"$1,001 - $15,000",Purchase
07/23/2014,Susan M Collins,MCK,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,PPG,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,OGS,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,PGH,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,PKG,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,PSX,"$1,001 - $15,000",Purchase
07/23/2014,Susan M Collins,PBCT,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,HSIC,"$1,001 - $15,000",Purchase
07/23/2014,Susan M Collins,PL,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,STE,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,SNA,"$1,001 - $15,000",Purchase
07/23/2014,Susan M Collins,WASH,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,TRV,"$1,001 - $15,000",Sale (Full)
07/23/2014,Susan M Collins,MLPRX,"$15,001 - $50,000",Sale (Full)
