,date,name,ticker,amount,type
219,05/07/2014,Susan M Collins,DLR,"$1,001 - $15,000",Sale (Full)
220,05/07/2014,Susan M Collins,CYS,"$1,001 - $15,000",Sale (Full)
221,05/07/2014,Susan M Collins,CY,"$1,001 - $15,000",Sale (Full)
222,05/07/2014,Susan M Collins,CNSL,"$1,001 - $15,000",Sale (Full)
223,05/07/2014,Susan M Collins,CPSI,"$1,001 - $15,000",Sale (Full)
224,05/07/2014,Susan M Collins,CTBI,"$1,001 - $15,000",Sale (Full)
225,05/07/2014,Susan M Collins,CLNY,"$1,001 - $15,000",Sale (Full)
226,05/07/2014,Susan M Collins,CHCO,"$1,001 - $15,000",Sale (Full)
227,05/07/2014,Susan M Collins,CELG,"$1,001 - $15,000",Sale (Full)
228,05/07/2014,Susan M Collins,CBT,"$1,001 - $15,000",Sale (Full)
229,05/07/2014,Susan M Collins,BAC,"$1,001 - $15,000",Sale (Full)
230,05/07/2014,Susan M Collins,BGS,"$1,001 - $15,000",Sale (Full)
231,05/07/2014,Susan M Collins,ALV,"$1,001 - $15,000",Sale (Full)
232,05/07/2014,Susan M Collins,ARCC,"$1,001 - $15,000",Sale (Full)
233,05/07/2014,Susan M Collins,AMT,"$1,001 - $15,000",Purchase
234,05/07/2014,Susan M Collins,AMZN,"$1,001 - $15,000",Sale (Full)
235,05/07/2014,Susan M Collins,ADC,"$1,001 - $15,000",Sale (Full)
236,05/30/2014,Thomas R Carper,OKE,"$1,001 - $15,000",Sale (Full)
237,05/22/2014,John F Reed,ACT,"$1,001 - $15,000",Purchase
238,05/22/2014,John F Reed,ACT,"$1,001 - $15,000",Purchase
239,05/29/2014,Sheldon Whitehouse,RTN,"$1,001 - $15,000",Purchase
240,05/29/2014,Sheldon Whitehouse,ORCL,"$1,001 - $15,000",Purchase
241,05/29/2014,Sheldon Whitehouse,UL,"$1,001 - $15,000",Purchase
242,05/29/2014,Sheldon Whitehouse,CHL,"$1,001 - $15,000",Purchase
243,05/29/2014,Sheldon Whitehouse,SSYS,"$1,001 - $15,000",Purchase
244,06/12/2014,Patrick J Toomey,DBP,"$15,001 - $50,000",Purchase
245,06/12/2014,Patrick J Toomey,VIXY,"$15,001 - $50,000",Purchase
246,06/12/2014,Patrick J Toomey,PFS,"$250,001 - $500,000",Exchange
247,06/11/2014,Patrick J Toomey,LGP,"$15,001 - $50,000",Purchase
248,06/05/2014,Patrick J Toomey,GLD,"$1,001 - $15,000",Sale (Partial)
249,06/05/2014,Patrick J Toomey,PPL,"$15,001 - $50,000",Sale (Partial)
250,06/24/2014,Patrick J Toomey,AMLP,"$15,001 - $50,000",Purchase
251,06/19/2014,Susan M Collins,LMGEX,"$15,001 - $50,000",Sale (Full)
252,06/19/2014,Susan M Collins,WY,"$1,001 - $15,000",Sale (Full)
253,06/19/2014,Susan M Collins,WCN,"$1,001 - $15,000",Purchase
254,06/19/2014,Susan M Collins,WMT,"$1,001 - $15,000",Sale (Full)
255,06/19/2014,Susan M Collins,UPS,"$1,001 - $15,000",Sale (Full)
256,06/19/2014,Susan M Collins,TCAP,"$1,001 - $15,000",Sale (Full)
257,06/19/2014,Susan M Collins,SRCL,"$1,001 - $15,000",Purchase
258,06/19/2014,Susan M Collins,SBGI,"$1,001 - $15,000",Sale (Full)
259,06/19/2014,Susan M Collins,ROP,"$1,001 - $15,000",Purchase
260,06/19/2014,Susan M Collins,ROC,"$1,001 - $15,000",Sale (Full)
261,06/19/2014,Susan M Collins,PG,"$1,001 - $15,000",Sale (Full)
262,06/19/2014,Susan M Collins,PX,"$1,001 - $15,000",Purchase
263,06/19/2014,Susan M Collins,PNM,"$1,001 - $15,000",Sale (Full)
264,06/19/2014,Susan M Collins,PRGO,"$1,001 - $15,000",Purchase
265,06/19/2014,Susan M Collins,PRE,"$1,001 - $15,000",Sale (Full)
266,06/19/2014,Susan M Collins,OXY,"$1,001 - $15,000",Sale (Full)
267,06/19/2014,Susan M Collins,MCHP,"$1,001 - $15,000",Purchase
268,06/19/2014,Susan M Collins,MPW,"$1,001 - $15,000",Sale (Full)
269,06/19/2014,Susan M Collins,LVS,"$1,001 - $15,000",Sale (Full)
270,06/19/2014,Susan M Collins,HFC,"$1,001 - $15,000",Sale (Full)
271,06/19/2014,Susan M Collins,GOOGL,"$1,001 - $15,000",Purchase
272,06/19/2014,Susan M Collins,GS,"$1,001 - $15,000",Sale (Full)
273,06/19/2014,Susan M Collins,AJG,"$1,001 - $15,000",Sale (Full)
274,06/19/2014,Susan M Collins,FNF,"$1,001 - $15,000",Sale (Full)
275,06/19/2014,Susan M Collins,CR,"$1,001 - $15,000",Sale (Full)
276,06/19/2014,Susan M Collins,C,"$1,001 - $15,000",Sale (Full)
277,06/19/2014,Susan M Collins,CMO,"$1,001 - $15,000",Sale (Full)
278,06/19/2014,Susan M Collins,BMY,"$1,001 - $15,000",Sale (Full)
279,06/19/2014,Susan M Collins,AIT,"$1,001 - $15,000",Sale (Full)
280,06/19/2014,Susan M Collins,AGCO,"$1,001 - $15,000",Sale (Full)
281,06/06/2014,Maria Cantwell,RNWK,"$1,001 - $15,000",Sale (Partial)
282,06/06/2014,Maria Cantwell,RNWK,"$1,001 - $15,000",Sale (Partial)
283,06/06/2014,Maria Cantwell,RNWK,"$1,001 - $15,000",Sale (Partial)
284,06/06/2014,Maria Cantwell,RNWK,"$1,001 - $15,000",Sale (Partial)
285,06/25/2014,Thomas R Carper,NTI,"$1,001 - $15,000",Purchase
286,07/15/2014,Sheldon Whitehouse,BMY,"$1,001 - $15,000",Purchase
287,06/24/2014,Sheldon Whitehouse,AMZN,"$15,001 - $50,000",Sale (Full)
288,07/02/2014,Sheldon Whitehouse,NOV,"$15,001 - $50,000",Purchase
289,07/10/2014,Sheldon Whitehouse,AMGN,"$1,001 - $15,000",Purchase
290,07/10/2014,Sheldon Whitehouse,EMR,"$1,001 - $15,000",Sale (Full)
291,07/15/2014,Sheldon Whitehouse,BMY,"$1,001 - $15,000",Purchase
292,06/18/2014,Sheldon Whitehouse,BEAV,"$1,001 - $15,000",Purchase
293,06/18/2014,Sheldon Whitehouse,CHL,"$1,001 - $15,000",Purchase
294,06/18/2014,Sheldon Whitehouse,UNP,"$1,001 - $15,000",Sale (Partial)
295,06/18/2014,Sheldon Whitehouse,VFC,"$1,001 - $15,000",Sale (Partial)
296,07/07/2014,Sheldon Whitehouse,KORS,"$15,001 - $50,000",Purchase
297,07/07/2014,Sheldon Whitehouse,LNKD,"$1,001 - $15,000",Sale (Partial)
298,07/10/2014,Sheldon Whitehouse,QLIK,"$1,001 - $15,000",Purchase
299,06/30/2014,Susan M Collins,DVFAX,"$1,001 - $15,000",Purchase
300,06/06/2014,Pat Roberts,AAPL,"$50,001 - $100,000",Sale (Full)
301,06/06/2014,Pat Roberts,F,"$1,001 - $15,000",Sale (Full)
302,07/07/2014,Pat Roberts,AFL,"$1,001 - $15,000",Sale (Full)
303,07/03/2014,Pat Roberts,SBUX,"$1,001 - $15,000",Sale (Full)
304,07/03/2014,Pat Roberts,IBM,"$15,001 - $50,000",Sale (Full)
305,07/22/2014,Pat Roberts,TWTR,"$1,001 - $15,000",Purchase
306,07/21/2014,Pat Roberts,FB,"$1,001 - $15,000",Sale (Full)
307,07/07/2014,Pat Roberts,BIDU,"$15,001 - $50,000",Sale (Full)
308,07/07/2014,Pat Roberts,NFLX,"$50,001 - $100,000",Sale (Full)
309,07/09/2014,John F Reed,ACT,"$1,001 - $15,000",Purchase
310,07/25/2014,John F Reed,KSU,"$1,001 - $15,000",Sale (Full)
311,07/17/2014,Thomas R Carper,LNC,"$15,001 - $50,000",Sale (Partial)
312,07/28/2014,John F Reed,XLNX,"$1,001 - $15,000",Purchase
313,07/28/2014,John F Reed,VWO,"$1,001 - $15,000",Purchase
314,07/28/2014,John F Reed,EEM,"$1,001 - $15,000",Purchase
315,07/28/2014,John F Reed,ALTR,"$1,001 - $15,000",Purchase
316,07/28/2014,John F Reed,XRT,"$1,001 - $15,000",Sale (Partial)
317,07/30/2014,Pat Roberts,BIDU,"$15,001 - $50,000",Purchase
318,08/01/2014,Pat Roberts,AAPL,"$1,001 - $15,000",Purchase
319,07/30/2014,Pat Roberts,AAPL,"$1,001 - $15,000",Purchase
320,07/23/2014,Pat Roberts,FB,"$1,001 - $15,000",Sale (Full)
321,07/23/2014,Susan M Collins,LNT,"$1,001 - $15,000",Sale (Full)
322,07/23/2014,Susan M Collins,ARE,"$1,001 - $15,000",Sale (Full)
323,07/23/2014,Susan M Collins,BUD,"$1,001 - $15,000",Sale (Full)
324,07/23/2014,Susan M Collins,AMT,"$1,001 - $15,000",Purchase
325,07/23/2014,Susan M Collins,BIIB,"$1,001 - $15,000",Sale (Full)
326,07/23/2014,Susan M Collins,BTE,"$1,001 - $15,000",Sale (Full)
327,07/23/2014,Susan M Collins,BWA,"$1,001 - $15,000",Purchase
328,07/23/2014,Susan M Collins,BMR,"$1,001 - $15,000",Sale (Full)
329,07/23/2014,Susan M Collins,DAL,"$1,001 - $15,000",Sale (Full)
330,07/23/2014,Susan M Collins,CME,"$1,001 - $15,000",Purchase
331,07/23/2014,Susan M Collins,ECL,"$15,001 - $50,000",Purchase
332,07/23/2014,Susan M Collins,EMC,"$1,001 - $15,000",Purchase
333,07/23/2014,Susan M Collins,EPR,"$1,001 - $15,000",Sale (Full)
334,07/23/2014,Susan M Collins,ENLC,"$1,001 - $15,000",Sale (Full)
335,07/23/2014,Susan M Collins,GE,"$1,001 - $15,000",Sale (Full)
336,07/23/2014,Susan M Collins,GRMN,"$1,001 - $15,000",Sale (Full)
337,07/23/2014,Susan M Collins,HRS,"$1,001 - $15,000",Sale (Full)
338,07/23/2014,Susan M Collins,HCC,"$1,001 - $15,000",Sale (Full)
339,07/23/2014,Susan M Collins,HUB-B,"$1,001 - $15,000",Sale (Full)
340,07/23/2014,Susan M Collins,HTGC,"$1,001 - $15,000",Sale (Full)
