date,name,ticker,amount,type
2025-04-09,David H McCormick,BITB,"$15,001 - $50,000",Purchase
2025-04-07,David H McCormick,BITB,"$15,001 - $50,000",Purchase
2025-04-03,David H McCormick,BITB,"$15,001 - $50,000",Purchase
2025-04-02,David H McCormick,BITB,"$15,001 - $50,000",Purchase
2025-03-31,David H McCormick,BITB,"$15,001 - $50,000",Purchase
2025-03-17,Bernie Moreno,BEEP,"$15,001 - $50,000",Sale (Full)
2025-03-27,David H McCormick,BITB,"$50,001 - $100,000",Purchase
2025-03-25,David H McCormick,BITB,"$50,001 - $100,000",Purchase
2025-03-24,David H McCormick,BITB,"$15,001 - $50,000",Purchase
2025-03-18,John W Hickenlooper,FWONK,"$50,001 - $100,000",Sale (Partial)
2025-03-19,John Boozman,IVW,"$1,001 - $15,000",Sale (Partial)
2025-03-19,John Boozman,DTE,"$1,001 - $15,000",Sale (Full)
2025-03-19,John Boozman,TBLL,"$1,001 - $15,000",Purchase
2025-03-05,John Boozman,TBLL,"$1,001 - $15,000",Purchase
2025-03-19,John Boozman,AMAT,"$1,001 - $15,000",Purchase
2025-03-19,Markwayne Mullin,COF,"$15,001 - $50,000",Purchase
2025-03-26,Shelley M Capito,META,"$1,001 - $15,000",Purchase
2025-03-26,Shelley M Capito,CEG,"$1,001 - $15,000",Purchase
2025-02-28,David H McCormick,GS,"$1,000,001 - $5,000,000",Sale (Partial)
2025-03-20,David H McCormick,BITB,"$50,001 - $100,000",Purchase
2025-03-13,David H McCormick,BITB,"$15,001 - $50,000",Purchase
2025-03-11,David H McCormick,BITB,"$15,001 - $50,000",Purchase
2025-03-10,David H McCormick,BITB,"$50,001 - $100,000",Purchase
2025-03-05,David H McCormick,BITB,"$15,001 - $50,000",Purchase
2025-03-03,David H McCormick,BITB,"$50,001 - $100,000",Purchase
2025-02-28,David H McCormick,BITB,"$15,001 - $50,000",Purchase
2025-02-27,David H McCormick,BITB,"$50,001 - $100,000",Purchase
2025-02-11,Tina Smith,PEP,"$100,001 - $250,000",Sale (Full)
2025-02-11,Tina Smith,GIS,"$100,001 - $250,000",Sale (Full)
2025-02-26,David H McCormick,BITB,"$15,001 - $50,000",Purchase
2025-02-25,David H McCormick,BITB,"$50,001 - $100,000",Purchase
2025-03-03,"A. Mitchell McConnell, Jr.",WFC,"$1,001 - $15,000",Purchase
2025-02-18,James Banks,YUM,"$1,001 - $15,000",Sale (Full)
2025-02-04,John Boozman,QSR,"$1,001 - $15,000",Sale (Full)
2025-02-13,John Boozman,PFE,"$1,001 - $15,000",Sale (Full)
2025-02-05,John Boozman,LRCX,"$1,001 - $15,000",Sale (Partial)
2025-02-05,John Boozman,JPM,"$1,001 - $15,000",Sale (Partial)
2025-02-26,John Boozman,IVW,"$1,001 - $15,000",Sale (Partial)
2025-02-14,John Boozman,IVW,"$1,001 - $15,000",Sale (Partial)
2025-02-26,John Boozman,FTGC,"$1,001 - $15,000",Sale (Partial)
2025-02-26,John Boozman,EMLP,"$1,001 - $15,000",Sale (Partial)
2025-02-13,John Boozman,DIS,"$1,001 - $15,000",Sale (Full)
2025-02-05,John Boozman,BAC,"$1,001 - $15,000",Sale (Partial)
2025-02-25,John Boozman,URNM,"$1,001 - $15,000",Purchase
2025-02-26,John Boozman,LITP,"$1,001 - $15,000",Purchase
2025-02-26,John Boozman,NVDA,"$1,001 - $15,000",Purchase
2025-02-26,John Boozman,MSI,"$1,001 - $15,000",Purchase
2025-02-14,John Boozman,MSFT,"$1,001 - $15,000",Purchase
2025-02-05,John Boozman,MSFT,"$1,001 - $15,000",Purchase
2025-02-05,John Boozman,MA,"$1,001 - $15,000",Purchase
